Nama Penyakit,Nama Hewan,Gejala,Penanganan Pertama
Panleukopenia,Kucing,"Demam, muntah, diare, dehidrasi","Isolasi kucing yang sakit, beri air minum yang banyak, jaga kehangatan tubuhnya, dan segera ke dokter hewan jika kondisinya tidak membaik."
Rabies,Anjing,"Perubahan perilaku, agresi, demam","Pastikan untuk tidak terkena gigitan, isolasi hewan, jangan sentuh hewan yang menunjukkan gejala rabies, segera hubungi otoritas kesehatan hewan."
Feline Herpesvirus,Kucing,"Bersin, mata merah, keluarnya cairan dari hidung","Jaga lingkungan kucing bersih, bersihkan cairan yang keluar dari hidung atau mata, pisahkan dari kucing lain, segera konsultasi dokter hewan."
Calicivirus,Kucing,"Mulut luka, bersin, kesulitan makan","Beri kucing makanan lunak atau cair jika sulit makan, perhatikan pernapasannya, bersihkan mulutnya dari luka, segera bawa ke dokter hewan."
Distemper,Anjing,"Batuk, pilek, demam tinggi, kejang","Isolasi anjing, berikan kompres hangat untuk mengurangi demam, berikan cairan, dan pantau gejala pernapasan, segera bawa ke dokter hewan."
Parvovirus,Anjing,"Muntah, diare berdarah, lemas","Jaga anjing tetap hangat, beri cairan rehidrasi jika ada, dan segera bawa ke dokter hewan untuk penanganan lebih lanjut."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Leptospirosis,Anjing,"Demam, muntah, gagal ginjal, kelesuan, tambahan gejala","Pastikan anjing tidak dehidrasi dengan memberi air bersih, bawa ke tempat yang teduh, hindari aktivitas fisik, dan segera konsultasi dokter. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Leukemia Virus,Kucing,"Penurunan nafsu makan, kelesuan, demam, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Feline Immunodeficiency Virus,Kucing,"Penurunan berat badan, infeksi berulang, tambahan gejala","Isolasi kucing yang terinfeksi, berikan perawatan suportif, konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
Heartworm,Anjing,"Batuk, kelelahan, kesulitan bernapas, tambahan gejala","Jaga anjing tetap tenang, beri cairan, pantau gejala pernapasan, hindari aktivitas fisik yang berat, segera konsultasi dokter hewan. Pastikan untuk konsultasi dengan dokter hewan."
